,overlapping_target,forward_target
random_walk,0.02214638771432512,0.13372331514140604
historical_mean,0.14541047050234682,0.15043348494702283
ewma_squared_returns,0.0404165886126729,0.12043575343871453
ewma_std_adjust_false,0.039252761642663454,0.12296751536976783
ewma_std_adjust_true,0.03922864034076936,0.12407151073773584
