,strategy,buyhold
MSFT,-0.49212292254099566,-0.4709192680694603
IBM,-0.31985343920583575,-0.27243903532865
SBUX,-0.46254068779043733,-0.6843511526695684
AAPL,0.08377863961902521,-0.45846092410275197
