,returns_lag1,abs_returns_lag1,volatility_lag1,volatility_lag21,volatility_lag63
MSFT,-0.058745054458628126,0.22725771192437794,0.9851660327118285,0.5698640100987457,0.4914814261613435
IBM,-0.016222700491189852,0.2154980223102092,0.9863818848978646,0.57997308809871,0.40561813499654165
SBUX,-0.02937615250339326,0.2054862815073027,0.9897249318724356,0.6734200381489829,0.5331474229542342
AAPL,-0.0032800046102066274,0.23208570704544737,0.9883740816063808,0.5786916652459351,0.39241226519041394
